"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"/home/XPSHDD/Code/ufei/client/src/components/ResultFilter/ResultFilter.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/XPSHDD/Code/ufei/client/src/components/ResultFilter/ResultFilter.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"/home/XPSHDD/Code/ufei/client/src/components/ResultGallery/ResultGallery.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 5, 20
"/home/XPSHDD/Code/ufei/client/src/components/ResultGallery/ResultGallery.js", "JavaScript", 45, 0, 0, 0, 0, 0, 1, 2, 48
"/home/XPSHDD/Code/ufei/client/src/components/ResultOps/ResultOps.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/XPSHDD/Code/ufei/client/src/components/ResultOps/ResultOps.js", "JavaScript", 32, 0, 0, 0, 0, 0, 1, 3, 36
"/home/XPSHDD/Code/ufei/client/src/components/ResultPagination/ResultPagination.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 3
"/home/XPSHDD/Code/ufei/client/src/components/ResultPagination/ResultPagination.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"/home/XPSHDD/Code/ufei/client/src/components/ResultSort/ResultSort.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/XPSHDD/Code/ufei/client/src/components/ResultSort/ResultSort.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"/home/XPSHDD/Code/ufei/client/src/components/SearchByChar/SearchByChar.css", "CSS", 0, 0, 0, 0, 0, 0, 11, 2, 13
"/home/XPSHDD/Code/ufei/client/src/components/SearchByChar/SearchByChar.js", "JavaScript", 50, 0, 0, 0, 0, 0, 1, 4, 55
"/home/XPSHDD/Code/ufei/client/src/components/SearchByName/SearchByName.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 10, 52
"/home/XPSHDD/Code/ufei/client/src/components/SearchByName/SearchByName.js", "JavaScript", 91, 0, 0, 0, 0, 0, 9, 19, 119
"/home/XPSHDD/Code/ufei/client/src/components/SelecTree/SelecTree.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/XPSHDD/Code/ufei/client/src/components/SelecTree/SelectTree.js", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 4, 26
"/home/XPSHDD/Code/ufei/client/src/components/SelectreeBanner/SelectreeBanner.css", "CSS", 0, 0, 0, 0, 25, 0, 0, 6, 31
"/home/XPSHDD/Code/ufei/client/src/components/SelectreeBanner/SelectreeBanner.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 6, 30
